Town,lng,lat
ADA,20.1285,45.8027
ALEKSANDROVAC,21.0539,43.4609
ALEKSINAC,21.7078,43.5417
ALIBUNAR,20.9682,45.0789
APATIN,18.9843,45.6709
ARANĐELOVAC,20.5612,44.3077
ARILJE,20.097,43.755
BABUŠNICA,22.4115,43.068
BAČ,19.2367,45.3923
BAČKA PALANKA,19.3916,45.2519
BAČKA TOPOLA,19.6369,45.8152
BAČKI PETROVAC,19.592,45.3616
BAJINA BAŠTA,19.5655,43.9709
BATOČINA,21.0799,44.1547
BEČEJ,20.04,45.6196
BELA CRKVA,21.4234,44.9015
BELA PALANKA,22.314,43.2196
BEOČIN,19.725,45.1916
BEOGRAD,20.468,44.8186
BLACE,21.2727,43.297
BOGATIĆ,19.4807,44.8376
BOJNIK,21.718,43.0142
BOLJEVAC,21.9609,43.8321
BOR,22.0967,44.0819
BOSILEGRAD,22.4728,42.5005
BRUS,21.0289,43.3846
BUJANOVAC,21.7666,42.4606
ČAČAK,20.3301,43.8897
ČAJETINA,19.715,43.7497
ĆIĆEVAC,21.4436,43.72
ČOKA,20.146,45.9415
CRNA TRAVA,22.3247,42.8071
CRVENI KRST,21.8852,43.3351
ĆUPRIJA,21.3745,43.9284
DESPOTOVAC,21.444,44.0932
DIMITROVGRAD,22.7776,43.0155
DOLJEVAC,21.8334,43.1968
GADŽIN HAN,22.0333,43.2223
GOLUBAC,21.6308,44.6529
GORNJI MILANOVAC,20.4586,44.0245
INĐIJA,20.0816,45.0482
IRIG,19.8603,45.1001
IVANJICA,20.2284,43.582
JAGODINA,21.2583,43.9791
KANJIŽA,20.0504,46.0635
KIKINDA,20.4682,45.8323
KLADOVO,22.6155,44.6073
KNIĆ,20.7197,43.927
KNJAŽEVAC,22.2539,43.5667
KOCELJEVA,19.8214,44.4687
KOSJERIĆ,19.9079,43.9987
KOSTOLAC,21.1751,44.722
KOVAČICA,20.6236,45.1109
KOVIN,20.9766,44.7482
KRAGUJEVAC,20.92,44.02
KRALJEVO,20.6896,43.7259
KRUPANJ,19.3633,44.3676
KRUŠEVAC,21.3352,43.581
KUČEVO,21.6712,44.4767
KULA,19.5274,45.6109
KURŠUMLIJA,21.2735,43.139
LAJKOVAC,20.1644,44.37
LAPOVO,21.0969,44.1877
LAZAREVAC,20.2639,44.3795
LEBANE,21.7294,42.9171
LESKOVAC,21.9445,42.9976
LJIG,20.2394,44.2266
LJUBOVIJA,19.3785,44.1896
LOZNICA,19.2427,44.5312
LUČANI,20.1384,43.8608
MAJDANPEK,21.9358,44.4228
MALI IĐOŠ,19.6663,45.7092
MALI ZVORNIK,19.1214,44.3992
MALO CRNIĆE,21.2906,44.5603
MEDIJANA,21.9079,43.3176
MEDVEĐA,21.5858,42.842
MEROŠINA,21.7218,43.2813
MIONICA,20.0817,44.2524
MLADENOVAC,20.6939,44.4364
NEGOTIN,22.5308,44.2264
NIŠ,21.9,43.3304
NOVA CRNJA,20.6042,45.6685
